Feature,Importance
cat__CustomerSegment_Loyal,0.07995477169742891
num__NetProductValue,0.05217481704307637
num__TotalAmount,0.05094123941076816
num__ShippingCost,0.050814284727349966
num__ShippingPercentage,0.048048346707959155
num__UnitPrice,0.04767465716054465
num__RevenuePerItem,0.0474567493098379
num__AverageSellingPrice,0.04616187894422311
num__Age,0.04266052111493757
cat__CustomerSegment_At Risk,0.04036548254789474
num__PurchaseDay,0.038800511937494495
num__Quantity,0.025301056045488882
num__CustomerRating,0.021300711809864634
num__PurchaseMonth,0.020804683590228155
num__DiscountPercent,0.016326440164460113
cat__ProductCategory_Electronics,0.008696072848590485
cat__Location_Hyderabad,0.008271754505252065
cat__Gender_Male,0.008037643069979873
cat__RatingCategory_High,0.007773270490969461
cat__PaymentMethod_Credit Card,0.007769165247153612
cat__Gender_Female,0.007729017380297398
cat__PaymentMethod_Wallet,0.007497910452681279
cat__RatingCategory_Average,0.007431370492411857
cat__PaymentMethod_COD,0.007321853055699389
cat__PaymentMethod_UPI,0.0072936277978330865
cat__HighValueCustomer_Yes,0.007284413053341364
cat__ProductCategory_Beauty,0.007236552429322098
cat__AgeGroup_Middle Age,0.007227374195442862
cat__DiscountCategory_Low Discount,0.007100182223135073
cat__WeekOfMonth_Week 3,0.0070936210870065
cat__RatingCategory_Low,0.007000173957521556
cat__WeekOfMonth_Week 4,0.0068905053844171005
cat__ProductCategory_Fashion,0.006699211124016134
cat__AgeGroup_Senior,0.006695489773130304
cat__Location_Pune,0.006688330154914225
cat__ProductCategory_Home,0.006683836112087913
cat__Location_Mumbai,0.00663218260665819
cat__DayOfWeek_Friday,0.0064937755999796174
cat__Location_Delhi,0.006475673407016099
cat__DiscountCategory_Medium Discount,0.006439168549157541
cat__MonthName_April,0.006433842641473838
cat__DayOfWeek_Monday,0.006369669435327446
cat__DiscountCategory_High Discount,0.0062709961815443395
cat__WeekOfMonth_Week 1,0.006177423369557654
cat__DayOfWeek_Tuesday,0.006149641626270524
cat__AgeGroup_Adult,0.006136577116277505
cat__DiscountCategory_No Discount,0.006128830836947334
cat__WeekOfMonth_Week 2,0.006108054743506464
cat__DayOfWeek_Saturday,0.006093942382026407
cat__HighValueCustomer_No,0.00607441375498185
cat__Location_Bangalore,0.0060674388277359385
cat__DayOfWeek_Sunday,0.006033699456445493
cat__MonthName_March,0.005966426419020176
cat__WeekendPurchase_Yes,0.0059279548513516776
cat__SpendingCategory_Premium,0.005925686868434898
cat__WeekendPurchase_No,0.00588865870804798
cat__ShippingCategory_Medium,0.005837106584025404
cat__CustomerSegment_Premium,0.0057861586097841845
cat__MonthName_May,0.005771623560136941
cat__MonthName_February,0.005754476131140982
cat__DayOfWeek_Wednesday,0.0057317380226174905
cat__DayOfWeek_Thursday,0.005487136516016261
cat__MonthName_June,0.005234045483924539
cat__MonthName_January,0.005179235665744357
cat__AgeGroup_Young Adult,0.004929322581439569
cat__CustomerSegment_Regular,0.004847460500084778
cat__SpendingCategory_Medium,0.0048012039024935135
cat__OrderValueCategory_Medium Order,0.004708241204798517
cat__ShippingCategory_Low,0.004492257151481825
cat__ShippingCategory_High,0.0042532653200431985
cat__SpendingCategory_High,0.00390791435187649
cat__WeekOfMonth_Week 5,0.003731021843762706
cat__SpendingCategory_Low,0.0037161137135189606
cat__OrderValueCategory_Small Order,0.0034890664507566016
cat__OrderValueCategory_Large Order,0.0032627285087132333
cat__OrderValueCategory_Bulk Order,0.0020782994691190713
num__PurchaseYear,0.0
